Updated Date,Date,Rank,Title,Artist,Album,Release Date,Popularity,Spotify ID
2025-04-21,2025-04-19,1,luther (with sza),"Kendrick Lamar, SZA",GNX,2024-11-21,94,2CGNAOSuO1MEFCbBRgUzjd
2025-04-21,2025-04-19,2,NOKIA,Drake,$ome $exy $ongs 4 U,2025-02-14,94,2u9S9JJ6hTZS3Vf22HOZKg
2025-04-21,2025-04-19,3,Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,2024-08-16,100,2plbrEY59IikOBgBGLjaoe
2025-04-21,2025-04-19,4,MELTDOWN (feat. Drake),"Travis Scott, Drake",UTOPIA,2023-07-28,77,67nepsnrcZkowTxMWigSbb
2025-04-21,2025-04-19,5,Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,89,1k2pQc5i348DCHwbn5KTdc
2025-04-21,2025-04-19,6,A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),2024-04-12,88,2FQrifJ1N335Ljm3TjTVVf
2025-04-21,2025-04-19,7,Ordinary,Alex Warren,Ordinary,2025-02-07,96,6qqrTXSdwiJaq8SO0X2lSe
2025-04-21,2025-04-19,8,Lose Control,Teddy Swims,Lose Control,2023-06-23,84,6usohdchdzW9oML7VC4Uhk
2025-04-21,2025-04-19,9,I'm The Problem,Morgan Wallen,I'm The Problem,2025-01-31,88,3HlWVKwU0JqJXqJK9DWHnZ
2025-04-21,2025-04-19,10,Beautiful Things,Benson Boone,Beautiful Things,2024-01-18,89,6tNQ70jh4OwmPGpYy6R2o9
2025-04-21,2025-04-19,11,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,99,6dOtVTDdiauQNBQEDOtlAB
2025-04-21,2025-04-19,12,Just In Case,Morgan Wallen,Just In Case,2025-03-21,89,02Ya2Q08bBKFqUJvjmyRXK
2025-04-21,2025-04-19,13,APT.,"ROSÉ, Bruno Mars",APT.,2024-10-18,96,5vNRhkKd0yEAg8suGBpjeY
2025-04-21,2025-04-19,14,Anxiety,Doechii,Anxiety,2025-03-05,94,1musbempyJAw5gfSKZHXP9
2025-04-21,2025-04-19,15,That’s So True,Gracie Abrams,The Secret of Us (Deluxe),2024-10-18,98,7ne4VBA60CxGM75vw0EYad
2025-04-21,2025-04-19,16,Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,96,6AI3ezQ4o3HUoP6Dhudph3
2025-04-21,2025-04-19,17,Espresso,Sabrina Carpenter,Espresso,2024-04-12,90,2qSkIjg1o9h3YT9RAgYN75
2025-04-21,2025-04-19,18,Super Bowl LIX Halftime Show - Live,"Kendrick Lamar, NFL",Super Bowl LIX Halftime Show (Live),2025-02-09,72,6g6W3pMAFbp2FS1QCijkpM
2025-04-21,2025-04-19,19,Love Somebody,Morgan Wallen,Love Somebody,2024-10-18,88,7hR22TOX3RorxJPcsz5Wbo
2025-04-21,2025-04-19,20,I Still Think We Made It,The Astronomers,I Still Think We Made It,2024-11-29,38,09g15LN2bq7kRXc3BBo1mb
2025-04-21,2025-04-19,21,MUTT,Leon Thomas,MUTT,2024-09-27,85,2uvE4L5ZsYKpv8hbK4TIOt
2025-04-21,2025-04-19,22,Messy,Lola Young,Messy,2024-05-30,92,3SKH53SPQbEnZR4cJPVaz2
2025-04-21,2025-04-19,23,squabble up,Kendrick Lamar,GNX,2024-11-22,90,0nj9Bq5sHDiTxSHunhgkFb
2025-04-21,2025-04-19,24,Sports car,Tate McRae,So Close To What,2025-02-20,89,5UJbgR4XF4y1DvbkxEqe8S
2025-04-21,2025-04-19,25,30 For 30 (with Kendrick Lamar),"SZA, Kendrick Lamar",SOS Deluxe: LANA,2024-12-20,89,3aSWXU6owkZeVhh94XxEWO
2025-04-21,2025-04-19,26,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",Hurry Up Tomorrow,2025-01-31,95,0FIDCNYYjNvPVimz5icugS
2025-04-21,2025-04-19,27,Taste,Sabrina Carpenter,Short n' Sweet,2024-08-23,92,5G2f63n7IPVPPjfNIGih7Q
2025-04-21,2025-04-19,28,Azizam,Ed Sheeran,Azizam,2025-04-04,89,0GRc3eGTg8HBdWLRGYgqIc
2025-04-21,2025-04-19,29,I Never Lie,Zach Top,Cold Beer & Country Music,2024-04-05,85,3t6gUcGYLrUuqwpXjOFWQc
2025-04-21,2025-04-19,30,Stargazing,Myles Smith,Stargazing,2024-05-10,89,3Vr3zh0r7ALn8VLqCiRR10
2025-04-21,2025-04-19,31,No One Noticed,The Marías,Submarine,2024-05-31,92,3siwsiaEoU4Kuuc9WKMUy5
2025-04-21,2025-04-19,32,I'm A Little Crazy,Morgan Wallen,I'm A Little Crazy,2025-03-21,85,7igCS2ZsfV7bvxuhF4XgiQ
2025-04-21,2025-04-19,33,Dark Thoughts,Lil Tecca,Dark Thoughts,2025-03-14,93,7EW7Yivb93qKAtp5qEm5of
2025-04-21,2025-04-19,34,Caramel,Sleep Token,Caramel,2025-04-04,87,3AdXwuFn7j21HNiFMXvZXt
2025-04-21,2025-04-19,35,DENIAL IS A RIVER,Doechii,Alligator Bites Never Heal,2024-08-30,92,1eTaznNW4Xxtx9za2SMTXB
2025-04-21,2025-04-19,36,Sailor Song,Gigi Perez,Sailor Song,2024-07-26,96,2262bWmqomIaJXwCRHr13j
2025-04-21,2025-04-19,37,Bad Dreams,Teddy Swims,Bad Dreams,2024-09-13,86,3nHuKdFJZm78CoeBnDcFKe
2025-04-21,2025-04-19,38,Abracadabra,Lady Gaga,Abracadabra,2025-02-03,92,5ZLUm9eab8y3tqQ1OhQSHI
2025-04-21,2025-04-19,39,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024-04-05,95,0WbMK4wrZ1wFSty9F7FCgu
2025-04-21,2025-04-19,40,The Giver,Chappell Roan,The Giver,2025-03-13,90,5xHgo5JN0wfsV41HnRaos5
2025-04-21,2025-04-19,41,twilight zone,Ariana Grande,eternal sunshine deluxe: brighter days ahead,2025-03-28,88,1YRbAonLvmuUILvQso0gUM
2025-04-21,2025-04-19,42,Worst Way,Riley Green,Worst Way,2024-03-29,74,4u2pk0zATUkEeMtuuMtu46
2025-04-21,2025-04-19,43,Indigo (feat. Avery Anna),"Sam Barber, Avery Anna",Restless Mind,2024-11-01,88,1KZG1H1OCugGqIRmk1wF9m
2025-04-21,2025-04-19,44,Good News,Shaboozey,Good News,2024-11-15,83,54p6vNJwGkt4FTaM8SCsxt
2025-04-21,2025-04-19,45,WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,96,3QaPy1KgI7nu9FJEQUgn6h
2025-04-21,2025-04-19,46,RATHER LIE (with The Weeknd),"Playboi Carti, The Weeknd",MUSIC,2025-03-14,92,68qeaZhtMZ6abrJCYt6nQn
2025-04-21,2025-04-19,47,Sorry I'm Here For Someone Else,Benson Boone,Sorry I'm Here For Someone Else,2025-02-27,90,3x3K1RP3Zfi2qeMR8kyrNO
2025-04-21,2025-04-19,48,DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,98,3sK8wGT43QFpWrvNQsrQya
2025-04-21,2025-04-19,49,Cry For Me,The Weeknd,Hurry Up Tomorrow,2025-01-31,89,3AWDeHLc88XogCaCnZQLVI
2025-04-21,2025-04-19,50,Residuals,Chris Brown,11:11 (Deluxe),2024-04-11,77,4t4rGgiVX7woTmlnW9SHJ7
2025-04-21,2025-04-19,51,BMF,SZA,SOS Deluxe: LANA,2024-12-20,89,3U3hFkMr0Q90pD24EkE3Pr
2025-04-21,2025-04-19,52,End of the World,Miley Cyrus,End of the World,2025-04-04,86,5SxahezRlC0saXbCALfB7c
2025-04-21,2025-04-19,53,ME JALO,"Fuerza Regida, Grupo Frontera",MALA MÍA,2024-12-19,92,3D24ErT1MMmUfXWotSj2A2
2025-04-21,2025-04-19,54,BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,97,2lTm559tuIvatlT1u0JYG2
2025-04-21,2025-04-19,55,Am I Okay?,Megan Moroney,Am I Okay?,2024-07-12,80,36wAwEkSDpNQ4oQeRLYC3L
2025-04-21,2025-04-19,56,SOMEBODY LOVES ME,"PARTYNEXTDOOR, Drake",$ome $exy $ongs 4 U,2025-02-14,82,2kZoOj1n5vk9BuF0sih58M
2025-04-21,2025-04-19,57,Revolving door,Tate McRae,So Close To What,2025-02-21,91,541sN2qNfIlllGn9nGOQoC
2025-04-21,2025-04-19,58,Ojos Tristes (with The Marías),"Selena Gomez, benny blanco, The Marías",I Said I Love You First,2025-03-19,83,1DpC4L3JjsGRW7y6eTHaMj
2025-04-21,2025-04-19,59,Smile,Morgan Wallen,Smile,2024-12-31,83,3MJ6lFNV12FSHAOzTzkwxz
2025-04-21,2025-04-19,60,dandelion,Ariana Grande,eternal sunshine deluxe: brighter days ahead,2025-03-28,86,6wZOZ0votPhc8qdg4UFPtH
2025-04-21,2025-04-19,61,Quero te ver gozar,Jaloo,MAU,2023-10-25,29,5YE3cApQuFEnAbvjAOR674
2025-04-21,2025-04-19,62,EVIL J0RDAN,Playboi Carti,MUSIC,2025-03-14,91,6iycYUk3oB0NPMdaDUrN1w
2025-04-21,2025-04-19,63,weren't for the wind,Ella Langley,still hungover,2024-11-01,79,2A22iI0x4EYAVXNpKPhNEM
2025-04-21,2025-04-19,64,Call Me When You Break Up (with Gracie Abrams),"Selena Gomez, benny blanco, Gracie Abrams",Call Me When You Break Up (with Gracie Abrams),2025-02-20,83,4yFPKNzjkCS0PpRzhcvy1d
2025-04-21,2025-04-19,65,Loco,Neton Vega,Loco,2024-12-20,88,63EQbNhgaih4yg5412usWG
2025-04-21,2025-04-19,66,GIMME A HUG,Drake,$ome $exy $ongs 4 U,2025-02-14,82,5Nz7hI3cCOHmMR4vSLJ1An
2025-04-21,2025-04-19,67,Super Bowl LIX Halftime Show - Live,"Kendrick Lamar, NFL",Super Bowl LIX Halftime Show (Live),2025-02-09,72,6g6W3pMAFbp2FS1QCijkpM
2025-04-21,2025-04-19,68,Chest Pain (I Love),Malcolm Todd,Chest Pain (I Love),2024-12-04,87,3gPYoFtn70aTgl546XVSET
2025-04-21,2025-04-19,69,Hard Fought Hallelujah (with Jelly Roll),"Brandon Lake, Jelly Roll",Hard Fought Hallelujah (with Jelly Roll),2025-02-07,73,4cLC8gydI0O78g8chZugS4
2025-04-21,2025-04-19,70,back to friends,sombr,back to friends,2024-12-27,92,0FTmksd2dxiE5e3rWyJXs6
2025-04-21,2025-04-19,71,DIE TRYING,"PARTYNEXTDOOR, Drake, Yebba",$ome $exy $ongs 4 U,2025-02-14,89,0NUqi0ps17YpLUC3kgsZq0
2025-04-21,2025-04-19,72,Busy Woman,Sabrina Carpenter,Short n' Sweet (Deluxe),2025-02-14,92,0b0Dz0Gi86SVdBxYeiQcCP
2025-04-21,2025-04-19,73,Heart Of A Woman,Summer Walker,Heart Of A Woman,2024-10-25,76,2oVVaVY0LkzwAYYcyzon6Z
2025-04-21,2025-04-19,74,I'll Show Me,Guy Clark,My Favorite Picture Of You,2013-07-23,14,5mf5cPxDaV0MnZ672tUAwM
2025-04-21,2025-04-19,75,EoO,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,94,6J5kc12BW5HuP3d7C3vvx8
2025-04-21,2025-04-19,76,SMUCKERS (feat. Lil Wayne & Kanye West),"Tyler, The Creator, Lil Wayne, Kanye West",Cherry Bomb,2015-04-13,69,078C2jXg7XsMgW78Gfx1JA
2025-04-21,2025-04-19,77,No Pole,Don Toliver,Love Sick (Deluxe),2023-02-28,90,0eaVIYo2zeOaGJeqZ5TwYz
2025-04-21,2025-04-19,78,Dutton Ranch Freestyle,David Morris,Bored In The USA,2023-11-10,65,13F5i1GqcozCFrZX9CpWi3
2025-04-21,2025-04-19,79,Love Me Not,Ravyn Lenae,Love Me Not / Love Is Blind,2024-05-03,84,1UNEuG9DYOWiikf00ayr52
2025-04-21,2025-04-19,80,Holy Smokes,Bailey Zimmerman,Holy Smokes,2024-02-23,77,1kMWJ16W3Yk3hyNmaM7jfQ
2025-04-21,2025-04-19,81,Texas,Blake Shelton,Texas,2024-11-15,72,3yU9fLsuDYjzVyZW2FLUqY
2025-04-21,2025-04-19,82,Are You Even Real (feat. Givēon),"Teddy Swims, GIVĒON",I've Tried Everything But Therapy (Part 2),2025-01-24,80,7pDFd3sgEoPnka6k9IyBcH
2025-04-21,2025-04-19,83,Morena,"Neton Vega, Peso Pluma",Mi Vida Mi Muerte,2025-02-14,92,4oB8Xd7gMlUEtWoD8bmCXW
2025-04-21,2025-04-19,84,Feel It (From “Invincible”),d4vd,Feel It (From “Invincible”),2024-03-28,92,3SAga35lAPYdjj3qyfEsCF
2025-04-21,2025-04-19,85,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Cosa Nuestra,2024-11-15,91,0l0vcZMU7AOeQmUIREoI2U
2025-04-21,2025-04-19,86,Back To Me,The Marías,Back To Me,2025-04-04,82,4E0P1xs3JNmsNr5c5nFTZJ
2025-04-21,2025-04-19,87,Fix What You Didn't Break,Nate Smith,Fix What You Didn't Break,2024-08-23,74,0GJ8peTqHq9pu5Yf2vHjjX
2025-04-21,2025-04-19,88,Emergence,Sleep Token,Emergence,2025-03-13,86,5NRpxJxtR6JkUhQS4F0um6
2025-04-21,2025-04-19,89,intro (end of the world) - extended,Ariana Grande,eternal sunshine deluxe: brighter days ahead,2025-03-28,84,5BBkvXH2jYROUzKIB7WX7S
2025-04-21,2025-04-19,90,NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,94,5TFD2bmFKGhoCRbX61nXY5
2025-04-21,2025-04-19,91,Hometown Home,LOCASH,Hometown Home,2024-04-19,59,3L7OAEmomAi443kywQPGJD
2025-04-21,2025-04-19,92,The Largest,BigXthaPlug,The Largest,2024-08-09,68,1F5Qp0SJS0QUfqIoQggrLz
2025-04-21,2025-04-19,93,Headlock,Imogen Heap,Speak for Yourself (Deluxe Version),2005,90,63Pi2NAx5yCgeLhCTOrEou
2025-04-21,2025-04-19,94,TATTOO,Tito Double P,TATTOO,2025-02-27,91,3KgHiAVuP88QoQs9CO4z1P
2025-04-21,2025-04-19,95,Backseat Driver,Kane Brown,Backseat Driver,2024-10-11,70,68SYsp6XfIEnlDYMgMyxUv
2025-04-21,2025-04-19,96,undressed,sombr,undressed,2025-03-21,89,4AajxCEwGEsmHmT4H1TwjY
2025-04-21,2025-04-19,97,Little Things,Ella Mai,3,2024-11-03,75,2HA4tNLIXY1dGvDVCLeslk
2025-04-21,2025-04-19,98,Por Esos Ojos,Fuerza Regida,Por Esos Ojos,2025-02-11,91,5jHozZMWbrExAFni95mvvH
2025-04-21,2025-04-19,99,That's Me,Joelpatrick,That's Me,2019-08-05,34,5Z5Dxz3YMoe6F0GneatZGf
2025-04-21,2025-04-19,100,Khé?,"Rauw Alejandro, Romeo Santos",Cosa Nuestra,2024-11-15,89,1YYfyJ2yCvGFCxwjsIqEK9
